artefact_path	title	type	primary_domain	secondary_domain	wiki
applications/app-mediakit-knowledge.md	app-mediakit-knowledge	TOPIC	applications		documentation
applications/app-mediakit-marketing.md	app-mediakit-marketing	TOPIC	applications		documentation
applications/app-orchestration-gis.md	app-orchestration-gis	TOPIC	applications		documentation
applications/article-shell-leapfrog.md	article-shell-leapfrog	TOPIC	applications		documentation
applications/documentation-pointsav-com-launch-2026-04-27.md	documentation-pointsav-com-launch-2026-04-27	TOPIC	applications		documentation
applications/knowledge-wiki-home-page-design.md	knowledge-wiki-home-page-design	TOPIC	applications		documentation
applications/location-intelligence-platform.md	location-intelligence-platform	TOPIC	applications		documentation
architecture/3-layer-stack.md	3-layer-stack	TOPIC	platform-architecture		documentation
architecture/3d-asset-tokens.md	3d-asset-tokens	TOPIC	platform-architecture		documentation
architecture/architecture.md	architecture	TOPIC	platform-architecture		documentation
architecture/building-design-system-bim.md	building-design-system-bim	TOPIC	platform-architecture		documentation
architecture/capability-based-security.md	capability-based-security	TOPIC	platform-architecture		documentation
architecture/city-code-as-composable-geometry.md	city-code-as-composable-geometry	TOPIC	platform-architecture		documentation
architecture/co-location-methodology.md	co-location-methodology	TOPIC	platform-architecture		documentation
architecture/collab-via-passthrough-relay.md	collab-via-passthrough-relay	TOPIC	platform-architecture		documentation
architecture/crypto-attestation.md	crypto-attestation	TOPIC	platform-architecture		documentation
architecture/cryptographic-ledgers.md	cryptographic-ledgers	TOPIC	platform-architecture		documentation
architecture/customer-hostability.md	customer-hostability	TOPIC	platform-architecture		documentation
architecture/data-sovereignty-telemetry.md	data-sovereignty-telemetry	TOPIC	platform-architecture		documentation
architecture/decode-time-constraints.md	decode-time-constraints	TOPIC	platform-architecture		documentation
architecture/development-regions.md	development-regions	TOPIC	platform-architecture		documentation
architecture/direct-payment-settlement.md	direct-payment-settlement	TOPIC	platform-architecture		documentation
architecture/doorman-protocol.md	doorman-protocol	TOPIC	platform-architecture		documentation
architecture/economic-model.md	economic-model	TOPIC	platform-architecture		documentation
architecture/flat-file-bim-leapfrog.md	flat-file-bim-leapfrog	TOPIC	platform-architecture		documentation
architecture/foundry-doctrine-architecture.md	foundry-doctrine-architecture	TOPIC	platform-architecture		documentation
architecture/foundry-doctrine-overview.md	foundry-doctrine-overview	TOPIC	platform-architecture		documentation
architecture/identity-ledger-schema-design.md	identity-ledger-schema-design	TOPIC	platform-architecture		documentation
architecture/leapfrog-2030-architecture.md	leapfrog-2030-architecture	TOPIC	platform-architecture		documentation
architecture/location-intelligence-strategy.md	location-intelligence-strategy	TOPIC	platform-architecture		documentation
