guide_id,title,domain,wiki_repo,wiki_path,active_state
guide-operating-yoyo,Operating the Yo-Yo Tier B Compute Node,documentation,woodfine/woodfine-fleet-deployment,vault-privategit-source/guide-operating-yoyo.md,active
guide-doorman,Doorman Protocol Operations,documentation,woodfine/woodfine-fleet-deployment,vault-privategit-source/guide-doorman.md,active
guide-doorman-deployment,Doorman Deployment Guide,documentation,woodfine/woodfine-fleet-deployment,vault-privategit-source/guide-doorman-deployment.md,active
guide-slm-execution,SLM Execution and Inference Operations,documentation,woodfine/woodfine-fleet-deployment,cluster-totebox-personnel/guide-slm-execution.md,active
guide-console-operations,Console Operator Guide,documentation,woodfine/woodfine-fleet-deployment,node-console-operator/guide-console-operations.md,active
guide-provision-node,Node Provisioning Guide,documentation,woodfine/woodfine-fleet-deployment,vault-privategit-source/guide-provision-node.md,active
guide-01-deployment,SLM Deployment Guide — cluster-totebox-personnel,documentation,woodfine/woodfine-fleet-deployment,service-slm/guide-01-deployment.md,active
guide-bim-archive-operations,Edit MANIFEST.md to update last_ingestion and model_guids,documentation,woodfine/woodfine-fleet-deployment,cluster-totebox-property/guide-bim-archive-operations.md,active
guide-bim-token-authoring,On the deployment host,documentation,woodfine/woodfine-fleet-deployment,gateway-orchestration-bim/guide-bim-token-authoring.md,active
guide-cold-storage-sync,🧭 GUIDE: PHYSICAL EGRESS (COLD STORAGE BACKUP),documentation,woodfine/woodfine-fleet-deployment,cluster-totebox-personnel/guide-cold-storage-sync.md,active
guide-command-ledger,🧭 GUIDE: UNIFIED COMMAND LEDGER OPERATIONS,documentation,woodfine/woodfine-fleet-deployment,node-console-operator/guide-command-ledger.md,active
guide-command-session,Guide — Running a Command Session,documentation,woodfine/woodfine-fleet-deployment,vault-privategit-source/guide-command-session.md,active
guide-deploy-bim-substrate,Expected: {"status":"ok"},documentation,woodfine/woodfine-fleet-deployment,gateway-orchestration-bim/guide-deploy-bim-substrate.md,active
guide-deploy-vpn,OPERATIONAL MANIFEST: SOVEREIGN OVERLAY NETWORK,documentation,woodfine/woodfine-fleet-deployment,fleet-infrastructure-leased/guide-deploy-vpn.md,active
guide-deployment,Deployment Guide — cluster-totebox-corporate,documentation,woodfine/woodfine-fleet-deployment,cluster-totebox-corporate/guide-deployment.md,active
guide-deployment-marketing-site,Deployment Guide — Marketing Landing Site (Woodfine tenant),documentation,woodfine/woodfine-fleet-deployment,media-marketing-landing/guide-deployment-marketing-site.md,active
guide-editorial-content-sweep,Guide — Monthly Editorial Content Sweep,documentation,woodfine/woodfine-fleet-deployment,media-knowledge-documentation/guide-editorial-content-sweep.md,active
guide-gis-adding-a-chain,Gis Adding A Chain,documentation,woodfine/woodfine-fleet-deployment,gateway-orchestration-gis/guide-gis-adding-a-chain.md,active
guide-ingress-operations,🧭 GUIDE: INGRESS OPERATIONS & SELF-HEALING LOOP,documentation,woodfine/woodfine-fleet-deployment,cluster-totebox-personnel/guide-ingress-operations.md,active
guide-knowledge-wiki-sprint-roadmap,Confirm HTTP 200 on all three:,documentation,woodfine/woodfine-fleet-deployment,media-knowledge-documentation/guide-knowledge-wiki-sprint-roadmap.md,active
